,City,Population,Area (km²),Area (mi²),Density (/km²),Density (/mi²),Country
0,Malé,"153,904[1]",1.956[1],0.755,78683,203846.0,Maldives
1,Manila,"1,660,714[2]",38.55[3],14.88,43079,111576.0,Philippines
2,Bogor,"866,034[4]",21.56[5],8.32,40169,104037.0,Indonesia
3,Titagarh,"124,213[6]",3.24[7],1.25,38337,99293.0,India
4,Baranagar,"250,768[6]",7.12[7],2.75,35220,91220.0,India
5,Serampore,"197,857[6]",5.88[7],2.27,33649,87151.0,India
6,South Dumdum,"392,444[6]",13.54[7],5.23,28984,75069.0,India
7,Kamarhati,"314,507[6]",10.96[7],4.23,28696,74323.0,India
8,Kolkata,"5,138,208[8]",185[9],71.4,27774,71935.0,India
9,Levallois-Perret,"66,082[10]",2.41[10],0.93,27420,71017.0,France
10,Mandaluyong,"305,576[2]",11.26[3],4.35,27138,70288.0,Philippines
11,Neapoli,"30,279[11]",1.17[11],0.45,25879,67027.0,Greece
12,Caloocan,"1,378,856[2]",53.34[3],20.6,25850,66952.0,Philippines
13,Karachi,"23,000,000[12]",1200,347.492,25555,66188.0,Pakistan
14,Chennai,"4,616,639[8]",181.04[13],69.9,25501,66047.0,India
15,Sukabumi,"300,694[4]",12.15[5],4.69,24748,64099.0,Indonesia
16,Hyderabad,"4,068,611[8]",172.70[14],66.68,23559,61017.0,India
17,Saint-Josse-ten-Noode,"26,488[15]",1.14[16],0.44,23235,60179.0,Belgium
18,Malabon,"363,681[2]",15.76[3],6.08,23076,59767.0,Philippines
19,Kallithea,"109,609[17]",4.75[17],1.83,23076,59767.0,Greece
20,Mumbai,"13,830,884[8]",603.0[14],232.8,22937,59406.0,India
21,Jaigaon,"38,689[6]",1.69[7],0.65,22893,59293.0,India
22,Navotas,"245,344[2]",10.77[3],4.16,22780,59001.0,Philippines
23,Ampelokipoi,"40,959[11]",1.80[11],0.69,22755,58935.0,Greece
24,Banupur,"11,647[6]",0.52[7],0.20,22398,58011.0,India
25,Bally,"260,906[6]",11.81[7],4.56,22092,57218.0,India
26,Balurghat,"135,737[6]",6.37[7],2.46,21309,55190.0,India
27,Pasay,"403,064[2]",19.00[3],7.34,21214,54944.0,Philippines
28,Nea Smyrni,"73,986[17]",3.52[17],1.36,21019,54439.0,Greece
29,Hospitalet de Llobregat,269382,12.40,4.787,20753,56265.0,Spain
30,Bogota,"7,862,677[18]",379.9[19],146.6,20691,53.63,Colombia
31,Paris,"2,165,423[20]",105.4[20][21],40.5,20545,53211.0,France
32,Haora,"1,034,372[8]",51.74[14],19.98,19992,51779.0,India
33,Howrah,"1,007,532[6]",51.74[7],19.98,19473,50435.0,India
34,Dhaka,"7,000,940[22]",360.0[23],138.99,19447,50368.0,Bangladesh
35,Ahmedabad,"3,959,432[8]",204,78.8,19408,50269.0,India
36,Athens,"745,514[17]",38.96[17],15.04,19135,49560.0,Greece
37,Union City,"62,715[24]",3.29,1.27[25],19066,49381.0,United States
38,Naihati,"215,303[6]",11.55[7],4.46,18641,48280.0,India
39,Saint-Gilles,"46,931[15]",2.52[16],0.97,18623,48234.0,Belgium
40,Macau,"542,200[26]",29.2[27],11.3,18568,48092.0,China
41,Prayagraj,"1,142,722[8]",63.38[14],24.47,18030,46697.0,India
42,Panihati,"348,438[6]",19.40[7],7.49,17961,46519.0,India
43,Rishra,"113,305[6]",6.48[7],2.50,17485,45286.0,India
44,Sylhet,"463,198[22]",26.5[28],10.23,17479,45278.0,Bangladesh
45,Patna,"1,875,572[8]",108.34[14],41.83,17311,44837.0,India
46,Seoul,"10,464,051[29]",605.25[30],233.68,17288,44778.0,South Korea
47,Dafni,"23,674[17]",1.38[17],0.53,17155,44431.0,Greece
48,Khardaha,"116,470[6]",6.87[7],2.65,16953,43908.0,India
49,Bucheon,"840,128[31]",53.45[32],20.64,15718,40704.0,South Korea
