time,latitude,longitude,altitude
0,59.892702,10.517711,6.9
1,59.892702,10.517668,6.9
2,59.892704,10.51764,6.8
3,59.892705,10.517612,6.8
4,59.892712,10.517537,6.8
5,59.892715,10.517514,6.8
6,59.892728,10.517461,6.8
7,59.892732,10.517447,6.8
8,59.892747,10.517422,6.8
9,59.892755,10.517413,6.8
10,59.892762,10.517405,6.8
11,59.892802,10.517397,6.8
12,59.892837,10.517401,6.8
13,59.892848,10.517398,6.8
14,59.892885,10.517382,6.8
15,59.892897,10.517378,6.8
16,59.892931,10.517378,6.8
17,59.89294,10.517378,6.8
18,59.892974,10.517372,6.8
19,59.892987,10.517369,6.8
20,59.893002,10.51736,6.8
21,59.893012,10.517349,6.8
22,59.89304,10.517324,6.8
23,59.89305,10.517313,6.8
24,59.893077,10.517303,6.8
25,59.893106,10.517294,6.7
26,59.893134,10.517286,6.7
27,59.893162,10.517275,6.7
28,59.893195,10.517275,6.6
29,59.893207,10.517281,6.6
30,59.893236,10.5173,6.6
31,59.893268,10.517318,6.5
32,59.8933,10.517325,6.5
33,59.893328,10.517326,6.4
34,59.893357,10.517322,6.4
35,59.893384,10.517317,6.3
36,59.893419,10.517297,6.2
37,59.89343,10.51729,6.2
38,59.89346,10.517277,6.1
39,59.893471,10.517277,6.1
40,59.893505,10.51728,6.0
41,59.893514,10.517281,5.9
42,59.89353,10.517284,5.9
43,59.893546,10.517285,5.9
44,59.893574,10.517297,5.8
45,59.893586,10.517304,5.7
46,59.893619,10.517315,5.7
47,59.89365,10.51732,5.6
48,59.893677,10.517328,5.5
49,59.893706,10.51735,5.5
50,59.893715,10.517361,5.4
51,59.893744,10.517386,5.4
52,59.893755,10.517397,5.4
53,59.89379,10.517413,5.3
54,59.893801,10.517418,5.3
55,59.893841,10.517436,5.3
56,59.893856,10.517453,5.3
57,59.893891,10.517506,5.3
58,59.893916,10.51756,5.3
59,59.893938,10.517596,5.3
60,59.893966,10.517632,5.3
61,59.893975,10.517641,5.3
62,59.893993,10.517649,5.3
63,59.894,10.517653,5.3
64,59.894006,10.517656,5.3
65,59.894012,10.51766,5.3
66,59.89404,10.517704,5.3
67,59.89405,10.517722,5.3
68,59.894074,10.517763,5.3
69,59.894091,10.517805,5.2
70,59.894118,10.517865,5.2
71,59.894128,10.517886,5.2
72,59.89415,10.517928,5.2
73,59.894175,10.517964,5.2
74,59.894204,10.518012,5.2
75,59.894213,10.51803,5.2
76,59.894234,10.518068,5.2
77,59.894255,10.518108,5.2
78,59.894278,10.518152,5.2
79,59.894286,10.518165,5.2
80,59.894309,10.518204,5.2
81,59.894334,10.51826,5.2
82,59.894341,10.518276,5.2
83,59.894366,10.518319,5.1
84,59.894375,10.518333,5.1
85,59.894401,10.518367,5.1
86,59.894433,10.518407,5.1
87,59.894467,10.518442,5.1
88,59.894496,10.518469,5.1
89,59.894527,10.518506,5.0
90,59.894537,10.518519,5.0
91,59.894569,10.518551,5.0
92,59.894579,10.518563,5.0
93,59.89461,10.518594,5.0
94,59.89462,10.518604,5.0
95,59.894645,10.518625,5.0
96,59.894672,10.518641,5.0
97,59.894702,10.518654,5.0
98,59.894731,10.518666,5.0
99,59.894762,10.518679,5.0
100,59.894789,10.518692,5.0
101,59.894816,10.518706,5.0
102,59.894851,10.518727,5.0
103,59.894861,10.518734,5.1
104,59.894893,10.518742,5.1
105,59.894903,10.518741,5.1
106,59.89494,10.518724,5.1
107,59.894953,10.518718,5.1
108,59.894987,10.518705,5.2
109,59.894998,10.5187,5.2
110,59.895033,10.51867,5.2
111,59.895045,10.518659,5.2
112,59.895079,10.518626,5.2
113,59.895091,10.518615,5.2
114,59.895122,10.518586,5.2
115,59.895131,10.518576,5.2
116,59.895159,10.518553,5.3
117,59.895166,10.518546,5.3
118,59.895199,10.518521,5.3
119,59.895213,10.518511,5.3
120,59.895243,10.51849,5.3
121,59.895272,10.518475,5.3
122,59.895298,10.518463,5.3
123,59.895336,10.51845,5.3
124,59.895349,10.518444,5.3
125,59.895376,10.518434,5.3
126,59.895403,10.518425,5.3
127,59.895438,10.5184,5.3
128,59.895449,10.51839,5.3
129,59.895474,10.518359,5.3
130,59.895482,10.518349,5.3
131,59.895513,10.51831,5.3
132,59.895523,10.518292,5.3
133,59.89555,10.518236,5.3
134,59.895559,10.518216,5.2
135,59.895582,10.518175,5.2
136,59.895605,10.51814,5.2
137,59.89564,10.518103,5.2
138,59.895655,10.518094,5.1
139,59.895685,10.518073,5.1
140,59.895712,10.518053,5.1
141,59.895745,10.51802,5.1
142,59.895756,10.518009,5.1
143,59.895785,10.517987,5.0
144,59.895793,10.517977,5.0
145,59.895819,10.517943,5.0
146,59.895827,10.517929,5.0
147,59.89585,10.517899,5.0
148,59.895879,10.517873,5.0
149,59.895908,10.517851,5.0
150,59.895945,10.51783,4.9
151,59.895956,10.517822,4.9
152,59.895988,10.517797,4.8
153,59.895998,10.517788,4.8
154,59.896025,10.517764,4.8
155,59.896032,10.517755,4.8
156,59.896049,10.517732,4.7
157,59.896059,10.517719,4.7
158,59.896069,10.517707,4.7
159,59.896087,10.517662,4.6
160,59.896105,10.517619,4.5
161,59.896136,10.517589,4.6
162,59.896146,10.517585,4.6
163,59.896178,10.517588,4.7
164,59.89619,10.51759,4.8
165,59.89621,10.517599,4.9
166,59.896225,10.517609,5.0
167,59.89625,10.517647,5.1
168,59.896258,10.517665,5.2
169,59.896284,10.517728,5.3
170,59.896294,10.517751,5.4
171,59.896317,10.51779,5.5
172,59.896339,10.517827,5.6
173,59.896362,10.517865,5.6
174,59.896386,10.517903,5.6
175,59.896415,10.517952,5.6
176,59.896424,10.51797,5.6
177,59.896442,10.518031,5.6
178,59.896447,10.518052,5.6
179,59.896463,10.518121,5.6
180,59.89647,10.518145,5.6
181,59.896485,10.518191,5.6
182,59.896511,10.518249,5.6
183,59.89652,10.518268,5.6
184,59.896547,10.518326,5.7
185,59.896555,10.518344,5.7
186,59.896575,10.518382,5.8
187,59.896596,10.518423,5.9
188,59.896622,10.518483,6.0
189,59.896631,10.518504,6.1
190,59.896649,10.518548,6.2
191,59.89667,10.518585,6.4
192,59.8967,10.518613,6.6
193,59.896728,10.518639,6.8
194,59.896755,10.518668,7.0
195,59.896782,10.518726,7.3
196,59.896788,10.518749,7.4
197,59.896806,10.518793,7.6
198,59.89682,10.518839,7.9
199,59.896835,10.5189,8.2
200,59.896839,10.518921,8.3
201,59.896853,10.51898,8.6
202,59.896857,10.518999,8.7
203,59.896871,10.519056,9.0
204,59.896877,10.519074,9.1
205,59.896899,10.519128,9.4
206,59.896908,10.519147,9.6
207,59.896938,10.519197,9.9
208,59.896949,10.519212,10.1
209,59.896971,10.519244,10.3
210,59.896998,10.51929,10.6
211,59.897006,10.519307,10.7
212,59.897025,10.519363,11.0
213,59.897031,10.519383,11.0
214,59.89705,10.519446,11.3
215,59.897056,10.519467,11.3
216,59.897072,10.519529,11.5
217,59.897077,10.519549,11.6
218,59.89709,10.519613,11.7
219,59.897094,10.519635,11.8
220,59.897106,10.519701,11.9
221,59.897109,10.519723,11.9
222,59.897118,10.519785,12.1
223,59.89712,10.519806,12.1
224,59.897125,10.519871,12.2
225,59.897126,10.519893,12.3
226,59.89713,10.519955,12.4
227,59.89713,10.519977,12.5
228,59.897132,10.520032,12.6
229,59.897137,10.520092,12.8
230,59.897141,10.520148,12.9
231,59.897145,10.520229,13.1
232,59.897146,10.520257,13.2
233,59.897151,10.52031,13.5
234,59.897157,10.520347,13.5
235,59.897166,10.520374,13.5
236,59.897196,10.520403,13.5
237,59.897207,10.520411,13.6
